CustomerID,MovieID,Rating
16786,13074.0,2.0
17890,9733.0,4.0
13210,10358.0,3.0
20830,13748.0,4.0
14225,12732.0,3.0
4574,11152.0,3.0
13891,14355.0,4.0
19970,357.0,4.0
3921,4888.0,3.0
25264,12155.0,5.0
7599,11047.0,3.0
15402,16879.0,5.0
13875,7987.0,5.0
19970,11677.0,4.0
5771,197.0,3.0
17321,4656.0,3.0
769,1525.0,2.0
21597,1073.0,3.0
21117,14274.0,4.0
4265,3538.0,4.0
16855,4778.0,4.0
18721,6637.0,4.0
19475,1843.0,4.0
7623,6556.0,4.0
8200,9927.0,3.0
26106,30.0,4.0
11452,12317.0,3.0
79,12317.0,3.0
14690,11604.0,4.0
12812,17574.0,4.0
19938,10935.0,2.0
906,1890.0,4.0
7449,14856.0,3.0
17656,15843.0,4.0
8588,8904.0,5.0
15316,273.0,4.0
24413,10981.0,1.0
15737,4831.0,3.0
10954,13865.0,3.0
18527,5924.0,5.0
7601,15107.0,5.0
1626,1843.0,4.0
15104,17134.0,2.0
6514,10375.0,4.0
18108,6702.0,3.0
4606,4805.0,4.0
13541,12732.0,2.0
536,14928.0,5.0
19144,11005.0,4.0
12840,8881.0,5.0
22709,12299.0,2.0
3841,16128.0,5.0
1588,9340.0,2.0
1715,6908.0,4.0
19751,14367.0,4.0
17176,5472.0,3.0
12138,8644.0,4.0
19930,11752.0,4.0
13891,15816.0,3.0
1044,13412.0,5.0
12876,1046.0,5.0
18721,8881.0,3.0
21047,3938.0,4.0
25656,3312.0,4.0
11965,8753.0,2.0
13597,12870.0,4.0
1186,13081.0,4.0
9861,10271.0,4.0
20392,10243.0,2.0
12449,5317.0,4.0
24280,17622.0,3.0
23632,9340.0,4.0
6457,12047.0,4.0
14833,8840.0,5.0
17336,5154.0,2.0
3741,2913.0,4.0
3417,11149.0,3.0
18649,11314.0,4.0
17063,15956.0,3.0
16388,3161.0,4.0
15191,15450.0,4.0
14912,12155.0,4.0
14756,15788.0,4.0
7289,3626.0,2.0
25567,5762.0,4.0
19577,14606.0,4.0
13511,17308.0,5.0
25375,15674.0,4.0
16408,3713.0,2.0
11731,17508.0,3.0
19415,5243.0,4.0
15170,1843.0,3.0
5980,4995.0,3.0
14756,12694.0,4.0
24355,16128.0,3.0
3470,10906.0,3.0
17451,4089.0,5.0
16591,15393.0,3.0
1846,9426.0,4.0
1890,1798.0,5.0
